City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Ribeira Grande,PT,38.5167,-28.7,71.91,87,3,4.97,clear sky
280,Sola,VU,-13.8833,167.55,83.07,79,75,5.75,light rain
281,Birjand,IR,32.8663,59.2211,59.47,11,0,9.22,clear sky
282,Santa Cruz De Tenerife,ES,28.4682,-16.2546,73.62,85,75,10.0,broken clouds
283,Primorsk,UA,46.7348,36.3443,47.55,61,4,17.31,clear sky
284,Iqaluit,CA,63.7506,-68.5145,31.73,86,20,0.0,few clouds
285,Tahta,EG,26.7693,31.5021,71.92,60,0,11.48,clear sky
286,Chifeng,CN,42.2683,118.9636,64.36,37,57,0.54,broken clouds
287,Namibe,AO,-15.1961,12.1522,60.8,88,0,5.12,clear sky
288,Karasjok,NO,69.4719,25.5112,39.31,88,32,8.43,scattered clouds
289,Cayenne,GF,4.9333,-52.3333,73.44,94,20,0.0,few clouds
290,Vredendal,ZA,-31.6683,18.5012,58.59,67,98,5.77,overcast clouds
291,Beyneu,KZ,45.3167,55.2,47.55,45,6,6.11,clear sky
292,Macomb,US,40.4592,-90.6718,74.03,67,100,7.02,overcast clouds
293,Ambilobe,MG,-13.2,49.05,74.98,55,36,6.67,scattered clouds
294,Qaqortoq,GL,60.7167,-46.0333,32.5,48,9,4.81,clear sky
295,Coquimbo,CL,-29.9533,-71.3436,55.13,87,90,8.05,overcast clouds
296,Deputatskiy,RU,69.3,139.9,22.42,61,11,5.26,few clouds
297,Tutoia,BR,-2.7619,-42.2744,78.39,85,8,9.8,clear sky
298,Yulara,AU,-25.2406,130.9889,80.44,13,0,10.36,clear sky
299,Klaksvik,FO,62.2266,-6.589,45.52,80,100,18.52,overcast clouds
300,Cabra,ES,37.4725,-4.4421,71.4,59,0,3.69,clear sky
301,Tabou,CI,4.423,-7.3528,75.11,91,100,3.87,light rain
302,Tocopilla,CL,-22.092,-70.1979,59.88,75,36,3.98,scattered clouds
303,Birao,CF,10.2849,22.7882,72.05,85,76,2.39,broken clouds
304,Aitape,PG,-3.1374,142.3475,86.88,67,63,8.7,broken clouds
305,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,45,0,8.05,clear sky
306,Goundam,ML,16.4145,-3.6708,90.34,27,22,8.01,few clouds
307,Chabahar,IR,25.2919,60.643,88.36,52,94,5.95,overcast clouds
308,Touros,BR,-5.1989,-35.4608,76.1,85,20,12.55,few clouds
309,Mountain Home,US,43.133,-115.6912,54.34,43,1,6.91,clear sky
310,Laguna,US,38.421,-121.4238,72.25,37,1,1.01,clear sky
311,Lae,PG,-6.7221,146.9847,88.47,83,97,6.35,light rain
312,Talnakh,RU,69.4865,88.3972,32.59,98,100,12.19,snow
313,Teguise,ES,29.0605,-13.564,68.22,83,75,13.8,broken clouds
314,Shurugwi,ZW,-19.6702,30.0059,58.23,69,0,7.27,clear sky
315,Harper,LR,4.375,-7.7169,76.39,87,100,5.06,light rain
316,Baghdad,IQ,33.3406,44.4009,69.71,40,0,3.44,clear sky
317,Gerede,TR,40.8008,32.1969,44.17,80,98,4.0,overcast clouds
318,Katsuura,JP,35.1333,140.3,83.19,68,100,11.34,overcast clouds
319,Torbay,CA,47.6666,-52.7314,59.76,90,75,8.05,broken clouds
320,Vulcan,RO,45.3833,23.2667,44.29,85,100,3.76,overcast clouds
321,Westport,US,41.1415,-73.3579,62.58,82,90,1.99,overcast clouds
322,Sitka,US,57.0531,-135.33,49.89,81,75,8.05,light rain
323,Izhma,RU,65.0083,53.9113,43.59,93,100,6.78,overcast clouds
324,Marsh Harbour,BS,26.5412,-77.0636,80.22,72,32,15.03,light rain
325,Wanning,CN,18.8003,110.3967,86.54,60,70,2.42,broken clouds
326,Sinnamary,GF,5.3833,-52.95,79.75,81,29,9.64,scattered clouds
327,Nalut,LY,30.3333,10.85,69.78,70,0,11.5,clear sky
328,Hwange,ZW,-18.3693,26.5019,72.95,31,0,3.38,clear sky
329,Jalu,LY,29.0331,21.5482,70.38,82,0,8.12,clear sky
330,Tuatapere,NZ,-46.1333,167.6833,51.82,69,91,11.36,overcast clouds
331,Yabelo,ET,4.8833,38.0833,61.0,74,91,8.03,overcast clouds
332,Belaya Gora,RU,68.5333,146.4167,31.17,57,12,8.1,few clouds
333,Rio Grande,BR,-32.035,-52.0986,59.95,75,1,17.36,clear sky
334,Menongue,AO,-14.6585,17.691,66.07,44,81,4.05,broken clouds
335,Belomorsk,RU,64.5232,34.7668,41.76,96,58,5.41,broken clouds
336,Nadvoitsy,RU,63.8667,34.3167,40.46,95,48,5.39,scattered clouds
337,Nizhniye Vyazovyye,RU,55.7988,48.5248,39.83,82,100,5.01,overcast clouds
338,Avera,US,33.194,-82.5271,71.71,62,3,2.44,clear sky
339,Niltepec,MX,16.5667,-94.6167,76.03,89,27,3.38,scattered clouds
340,Beira,MZ,-19.8436,34.8389,77.09,88,75,8.05,broken clouds
341,Curup,ID,-3.4667,102.5333,78.48,72,98,4.94,light rain
342,Buraydah,SA,26.326,43.975,72.05,11,0,9.1,clear sky
343,Goderich,CA,43.7501,-81.7165,50.92,93,0,4.61,clear sky
344,Boyolangu,ID,-8.1181,111.8935,81.84,74,85,10.56,light rain
345,Avallon,FR,47.4833,3.9,41.72,80,7,1.79,clear sky
346,Flin Flon,CA,54.7682,-101.865,52.83,86,94,7.14,overcast clouds
347,Maniwaki,CA,46.3834,-75.966,52.34,93,100,5.75,overcast clouds
348,Aswan,EG,24.0934,32.907,73.18,37,0,7.87,clear sky
