City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
485,Hambantota,LK,84.54,broken clouds,6.1241,81.1185,Bungalow 63
487,Port Macquarie,AU,80.38,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
489,Jacareacanga,BR,73.35,broken clouds,-6.2222,-57.7528,Casa do Ian😎
490,Sibu,MY,88.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
495,Port Keats,AU,88.81,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
496,Mogadishu,SO,78.67,broken clouds,2.0371,45.3438,Hotel Juba
500,San-Pedro,CI,73.87,overcast clouds,4.7485,-6.6363,Hotel Maria
501,Paluan,PH,84.97,light rain,13.416,120.4623,Calawagan Mountain Resort
502,Marhaura,IN,78.73,broken clouds,25.9667,84.8667,Mishti Polutry Farm
505,Hohhot,CN,68.29,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
508,Sao Joao Da Ponte,BR,75.51,broken clouds,-15.9292,-44.0078,Hotel da Cidade
510,Diffa,NE,81.25,overcast clouds,13.3154,12.6113,ProDAF/Diffa
512,Qinhuangdao,CN,65.59,light rain,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
515,San Policarpo,PH,85.01,light rain,12.1791,125.5072,Manong Aklan Resort
516,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
517,Kusti,SD,78.85,broken clouds,13.1629,32.6635,فندق الكوباري - Kobari Hotel
525,Areia Branca,BR,76.51,clear sky,-4.9561,-37.1369,Areia Branca Apart Hotel
528,Nuevitas,CU,76.44,moderate rain,21.5453,-77.2644,Hotel Caonaba
530,Jaciara,BR,80.33,clear sky,-15.9653,-54.9683,Taba Hotel
531,Nyaunglebin,MM,86.18,scattered clouds,17.95,96.7333,Royal Motel
532,Saint Anthony,US,73.92,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
533,Mondovi,IT,65.79,few clouds,44.396,7.8176,Park Hotel
536,Jardim De Piranhas,BR,78.19,scattered clouds,-6.3786,-37.3519,Área de Lazer Olho D'água
537,Shangrao,CN,82.18,light rain,28.4532,117.9686,Boyue boutique Hotel
539,Gushikawa,JP,87.03,overcast clouds,26.3544,127.8686,Kirari Guest House
543,Aksu,CN,76.89,clear sky,41.1231,80.2644,Pudong Holiday Hotel
546,Punta Cardon,VE,83.46,overcast clouds,11.6581,-70.215,Bambuda hotel
547,Wenling,CN,81.1,light rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
550,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
